,date,count,mean,sum
0,2015-09-01,15346,3.45044506712,52950.53
1,2015-09-02,16803,3.4783467238,58446.66
2,2015-09-03,18544,3.50234361519,64947.46
3,2015-09-04,20609,3.56098646223,73388.37
4,2015-09-05,21377,3.70321841231,79163.7
5,2015-09-06,18992,3.71339511373,70524.8
6,2015-09-07,15914,3.69774726656,58845.95
7,2015-09-08,15935,3.48094320678,55468.83
8,2015-09-09,18272,3.45427813047,63116.57
9,2015-09-10,21463,3.17679215394,68183.49
10,2015-09-11,22555,3.47274218577,78327.7
11,2015-09-12,27904,3.5187940797,98188.43
12,2015-09-13,22712,3.62770517788,82392.44
13,2015-09-14,14809,3.4927138902,51723.6
14,2015-09-15,16142,3.33874612811,53894.04
15,2015-09-16,18420,3.41451411509,62895.35
16,2015-09-17,20628,3.32855293775,68661.39
17,2015-09-18,23451,3.34846104644,78524.76
18,2015-09-19,29602,3.52799709479,104435.77
19,2015-09-20,23757,3.65508355432,86833.82
20,2015-09-21,16545,3.44576790571,57010.23
21,2015-09-22,16506,3.23339209984,53370.37
22,2015-09-23,16845,3.35247373108,56472.42
23,2015-09-24,16296,3.33078853706,54278.53
24,2015-09-25,21186,3.28634758803,69624.56
25,2015-09-26,27504,3.46713350785,95360.04
26,2015-09-27,22819,3.59310311582,81991.02
27,2015-09-28,16383,3.30644143319,54169.43
28,2015-09-29,17753,3.20911620571,56971.44
29,2015-09-30,19697,3.1353383764,61756.76
